"name","aufgabe1","aufgabe2","aufgabe3"
"MAX",14,10,18
"Person1",4,8.5,10
"Person2",6.5,7,16
"Person3",12,7.5,2
"Person4",2.5,9,13.5
"Person5",3,1.5,2
"Person6",9.5,7,11
"Person7",9.5,0,5
"Person8",3,3,16
"Person9",6,0.5,13.5
"Person10",5.5,5,10.5
"Person11",2,1.5,15
"Person12",13.5,8,16
"Person13",5,1.5,6.5
"Person14",4.5,6,4
"Person15",5.5,5,15.5
"Person16",4,4,4
"Person17",13,7,7
"Person18",13,8.5,10.5
"Person19",13.5,1,15.5
"Person20",11,6.5,3
"Person21",8.5,8.5,2.5
"Person22",3.5,6,13
"Person23",4,2,14
"Person24",1.5,3,6.5
"Person25",6,6.5,18
"Person26",8,1.5,14
"Person27",7,10,3
"Person28",7.5,3,2.5
"Person29",3,8.5,7.5
"Person30",13.5,8.5,3.5
"Person31",6,7.5,3.5
"Person32",14,0.5,13
"Person33",7,5.5,9
"Person34",10,10,2.5
"Person35",4,1.5,9
"Person36",11,5,14.5
"Person37",3,3.5,13.5
"Person38",2,6,15.5
"Person39",8,6.5,7.5
"Person40",6,8,13
"Person41",5,0.5,9
"Person42",2,2.5,11
"Person43",1.5,2.5,5.5
"Person44",9,2.5,7
"Person45",9.5,6.5,1
"Person46",5.5,6,3
"Person47",11.5,7.5,0
"Person48",0.5,9.5,16
"Person49",0.5,2,1
"Person50",12,9,11.5
"Person51",5.5,7.5,9
"Person52",11.5,2.5,13
"Person53",3,8,3.5
"Person54",1.5,0.5,8
"Person55",12,3.5,12
"Person56",0.5,4.5,7.5
"Person57",5,1,16
"Person58",12,5,4
"Person59",12.5,4.5,5.5
"Person60",2,1,13
"Person61",5,4.5,17
"Person62",7,9.5,2
"Person63",4,2.5,5
"Person64",1.5,10,5.5
"Person65",2,3,12
"Person66",6,1.5,5
"Person67",5.5,7.5,10
"Person68",7,6,7.5
"Person69",3.5,6.5,1
"Person70",1,1.5,4.5
"Person71",0,4.5,16.5
"Person72",8,5.5,13
"Person73",11.5,7,14
"Person74",8.5,6,5
"Person75",13.5,7.5,17.5
"Person76",6,7.5,1.5
"Person77",8,3,11.5
"Person78",4.5,5,15
"Person79",4,5,10.5
"Person80",4.5,8.5,14.5
"Person81",1.5,7,4
"Person82",6,1.5,18
"Person83",5,2,0.5
"Person84",0.5,10,14
"Person85",1,7.5,9.5
"Person86",12.5,1,5
"Person87",5.5,3.5,4
"Person88",7.5,1,5.5
"Person89",11.5,0.5,15.5
"Person90",10.5,8,3.5
"Person91",2,8,8.5
"Person92",14,4.5,3.5
"Person93",6.5,7,14
"Person94",12.5,7,7
"Person95",9.5,2.5,3
"Person96",1.5,4,7
"Person97",6.5,5,0
"Person98",10,3.5,1.5
"Person99",10.5,3.5,13
"Person100",1.5,2.5,15
